code,Stage,CharityTreat,Charity,Donation,Happiness,Student,RiskAversion,GeneralTrust,sex,birth,race,relig,single,uni stdnt,studies,prev par,exp pref,momjob,dadjob,momeduc,dadeduc,siblings,siborder,child,numchild,risk,trust,BirthData,Religion,MaritalStatus,PreviousExperiment,OccupationMother,OccupationFather,EducationMother,EducationFather,Siblings,SiblingsOlder,Children,ChildrenNumber,BornUK,BornCountry,YearsInUK,LanguageEnglishFirst,LanguageEnglishFluent,LanguageMainChildhood,LanguageOther,LivedOutsideUK,PersonalityExtroverted,PersonalityCritical,PersonalityDependable,PersonalityAnxious,PersonalityOpen,PersonalityReserved,PersonalitySympathetic,PersonalityCareless,PersonalityCalm,Personalityconventional,StartDate,EndDate
pi724b,1,NA,NA,NA,Moderately happy,1,NA,NA,Female,20/07/1997,White,Atheist,Single,Yes,BA International Relations,No,I'm open to both Online and In-Lab Experiments,Government,Other,"Undergraduate Degree (BA, BSc etc.)",Doctorate (PhD),1,0,No,NA,8,Most people can be trusted,20/07/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T16:43:55Z,2017-06-15T16:59:15Z
3w8aec,1,NA,Oxfam,10,NA,1,NA,NA,Male,04/03/1996,White,Atheist,Single,Yes,BA Liberal Arts,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,"Management, Professional, and related","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",2,2,No,NA,8,Depends,04/03/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T16:54:22Z,2017-06-15T17:12:15Z
qi42p2,1,NA,NA,NA,Slightly happy,1,NA,NA,Male,20/03/1995,White,Atheist,Single,Yes,BA English Language and Linguistics,No,Online Only,Sales and Office,Sales and Office,Secondary Education (GCSE/O-Levels) or below,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",0,NA,No,NA,6,Most people can be trusted,20/03/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T17:20:27Z,2017-06-15T17:34:36Z
kqoifh,1,NA,Oxfam,1,NA,1,NA,NA,Male,28/01/1995,White,Christian,Single,Yes,Politics,Yes,I'm open to both Online and In-Lab Experiments,Other,"Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,Doctorate (PhD),3,2,No,NA,9,Most people can be trusted,28/01/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:05:37Z,2017-06-15T17:45:33Z
1k53kg,1,NA,Oxfam,0,Slightly unhappy,1,NA,NA,Male,15/09/1995,White,Other,Single,Yes,Information and Communications Technology (with Placement Year),No,I'm open to both Online and In-Lab Experiments,Other,Other,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,8,Can't be too careful,15/09/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T18:28:49Z,2017-06-15T18:43:04Z
y1gxum,1,NA,BHF,0,NA,1,NA,NA,Male,27/08/1996,White,Christian,Single,Yes,Electronic Engineering,No,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,2,1,No,NA,9,Depends,27/08/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T18:40:24Z,2017-06-15T18:54:56Z
wtmy5h,1,NA,Oxfam,10,Moderately happy,1,NA,NA,Female,24/10/1946,White,Atheist,Divorced/Separated,No,NA,No,Online Only,Homemaker,Other,Secondary Education (GCSE/O-Levels) or below,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",1,1,Yes,2,4,Depends,24/10/1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T19:00:19Z,2017-06-15T19:13:05Z
tjp4oc,1,NA,Oxfam,0,NA,1,NA,NA,Female,13/02/1995,White,Christian,Single,Yes,Management and Marketing,No,I'm open to both Online and In-Lab Experiments,Sales and Office,Sales and Office,"Post-graduate Degree (MA, MSc etc.)","Post-graduate Degree (MA, MSc etc.)",1,1,No,NA,7,Can't be too careful,13/02/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T19:23:04Z,2017-06-15T19:32:27Z
7hzzg6,1,NA,NA,NA,Moderately happy,1,NA,NA,Female,04/04/1964,White,Christian,Married,No,NA,No,I'm open to both Online and In-Lab Experiments,Homemaker,"Construction, Extraction, and maintenance",Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,0,Yes,1,7,Can't be too careful,04/04/1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T19:14:41Z,2017-06-15T19:33:33Z
kcj8e8,1,NA,NA,NA,Moderately happy,1,NA,NA,Male,04/01/1996,White,Atheist,Single,Yes,History,Yes,I'm open to both Online and In-Lab Experiments,Other,Other,"Undergraduate Degree (BA, BSc etc.)",Doctorate (PhD),1,1,No,NA,7,Depends,04/01/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T17:34:33Z,2017-06-15T19:41:06Z
srxpx1,1,NA,BHF,2,NA,1,NA,NA,Female,14/12/1995,Arab,Muslim,Single,Yes,Computer science,Yes,I'm open to both Online and In-Lab Experiments,Sales and Office,"Management, Professional, and related","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",2,0,No,NA,Risk Neutral,Can't be too careful,14/12/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T19:32:03Z,2017-06-15T19:51:45Z
997hc2,1,NA,Oxfam,0,NA,1,NA,NA,Male,29/12/1994,White,Other,Single,Yes,Politics,Yes,I'm open to both Online and In-Lab Experiments,Sales and Office,"Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,7,Depends,29/12/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T19:46:07Z,2017-06-15T20:01:25Z
9c18lr,1,NA,BHF,1,NA,1,NA,NA,Female,08/01/1997,Black African,Christian,Single,Yes,Law LLB,Yes,I'm open to both Online and In-Lab Experiments,Other,Other,"Undergraduate Degree (BA, BSc etc.)","Post-graduate Degree (MA, MSc etc.)",2,1,No,NA,9,Can't be too careful,08/01/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T20:06:16Z,2017-06-15T20:23:29Z
3gu3xf,1,NA,NA,NA,Slightly happy,1,NA,NA,Female,18/01/1996,White,Christian,Single,Yes,Accounting and Finance,No,In the Lab Only,"Management, Professional, and related","Management, Professional, and related","Post-graduate Degree (MA, MSc etc.)","Undergraduate Degree (BA, BSc etc.)",0,NA,No,NA,6,Can't be too careful,18/01/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T19:57:47Z,2017-06-15T20:44:34Z
g8hw29,1,NA,Oxfam,0,NA,1,NA,NA,Female,22/05/1987,White,Other,Single,No,NA,No,Online Only,Homemaker,Unemployed,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,2,1,Yes,3,3,Most people can be trusted,22/05/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T20:35:42Z,2017-06-15T20:45:46Z
mlkhwm,1,NA,NA,NA,Slightly happy,1,NA,NA,Male,09/06/1987,Other,Other,Single,No,NA,Yes,I'm open to both Online and In-Lab Experiments,Service,Service,"Post-graduate Degree (MA, MSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,1,No,NA,7,Most people can be trusted,09/06/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T20:28:04Z,2017-06-15T20:45:51Z
56ofck,1,NA,BHF,0,NA,1,NA,NA,Male,19/08/1997,White,Atheist,Single,Yes,International Relations,No,I'm open to both Online and In-Lab Experiments,Service,Service,"Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,1,No,NA,8,Depends,19/08/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T14:48:14Z,2017-06-15T20:55:21Z
jtf3s7,1,NA,Oxfam,0,Moderately unhappy,1,NA,NA,Male,23/01/1997,White,Christian,Single,Yes,Sports science,No,Online Only,Other,Other,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Undergraduate Degree (BA, BSc etc.)",2,1,No,NA,7,Can't be too careful,23/01/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T20:52:10Z,2017-06-15T21:03:04Z
giwmm9,1,NA,NA,NA,Extremely happy,1,NA,NA,Female,07/07/1992,Other,Christian,Single,Yes,Actuarial Science,No,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Management, Professional, and related","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",0,NA,No,NA,8,Can't be too careful,07/07/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T20:05:02Z,2017-06-15T21:31:51Z
fhd5u6,1,NA,NA,NA,Moderately happy,1,NA,NA,Female,23/10/1997,Black African,Other,Single,Yes,Economics,No,I'm open to both Online and In-Lab Experiments,Service,Other,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",1,1,No,NA,4,Can't be too careful,23/10/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T10:59:28Z,2017-06-15T22:05:54Z
qhof6g,1,NA,BHF,0,NA,1,NA,NA,Female,11/02/1987,White,Other,Single,No,NA,No,I'm open to both Online and In-Lab Experiments,Service,"Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,1,Yes,2,8,Depends,11/02/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T22:06:54Z,2017-06-15T22:48:36Z
dy5mte,1,NA,BHF,0,NA,1,NA,NA,Male,22/01/1997,White,Atheist,Single,Yes,Mathematics,Yes,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Management, Professional, and related","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,0,No,NA,2,Can't be too careful,22/01/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T22:38:50Z,2017-06-15T22:59:23Z
qhmb6q,1,NA,BHF,0,NA,1,NA,NA,Female,15/02/1996,White,Atheist,Single,Yes,History,Yes,I'm open to both Online and In-Lab Experiments,Sales and Office,"Construction, Extraction, and maintenance","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",1,0,No,NA,9,Can't be too careful,15/02/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T22:54:38Z,2017-06-15T23:04:00Z
bxd7cg,1,NA,Oxfam,3,Moderately happy,1,NA,NA,Female,10/07/1988,Arab,Muslim,Single,Yes,MA in Theory and Practice of Human Rights,No,Online Only,Other,Other,"Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,0,No,NA,8,Depends,10/07/1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T20:14:18Z,2017-06-16T01:14:54Z
gw86b2,1,NA,NA,NA,Neither happy nor unhappy,1,NA,NA,Male,07/05/1994,Other,Muslim,Single,Yes,BA economics,No,I'm open to both Online and In-Lab Experiments,Homemaker,Sales and Office,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,5,0,No,NA,6,Can't be too careful,07/05/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T04:24:02Z,2017-06-16T04:45:25Z
7riiwz,1,NA,NA,NA,Slightly happy,1,NA,NA,Male,28/11/1994,Other,Atheist,Single,Yes,Human Rights,No,Online Only,Other,Other,"Post-graduate Degree (MA, MSc etc.)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",2,1,No,NA,Very willing to take risks,Depends,28/11/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T06:35:09Z,2017-06-16T07:06:21Z
27ssix,1,NA,NA,NA,Slightly unhappy,1,NA,NA,Female,09/05/1978,White,Agnostic,Married,Yes,PhD psychology,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,"Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,1,Yes,2,4,Can't be too careful,09/05/1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:46:34Z,2017-06-16T09:27:29Z
babbu0,1,NA,Oxfam,0,NA,1,NA,NA,Male,24/11/1995,Other,Muslim,Single,Yes,accounting and finance,Yes,I'm open to both Online and In-Lab Experiments,Unemployed,Other,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,4,1,No,NA,8,Depends,24/11/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T10:09:13Z,2017-06-16T10:18:58Z
sw93k9,1,NA,BHF,0,NA,1,NA,NA,Female,17/10/1995,White,Agnostic,Single,Yes,BA International Relations,Yes,I'm open to both Online and In-Lab Experiments,Other,Other,"Post-graduate Degree (MA, MSc etc.)","Post-graduate Degree (MA, MSc etc.)",2,0,No,NA,8,Depends,17/10/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T10:08:52Z,2017-06-16T10:20:06Z
xxxycc,1,NA,NA,NA,Slightly happy,1,NA,NA,Female,30/08/1998,Eastern Asian/Pacific Islander,Atheist,Single,Yes,economics,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,Service,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,6,Can't be too careful,30/08/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T10:45:08Z,2017-06-16T10:52:30Z
sy5pao,1,NA,BHF,0,NA,1,NA,NA,Female,27/06/1995,White,Atheist,Single,Yes,English Language and TEFL,No,I'm open to both Online and In-Lab Experiments,Other,Other,Doctorate (PhD),"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",0,NA,No,NA,7,Depends,27/06/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T10:53:23Z,2017-06-16T11:08:38Z
ugbtks,1,NA,BHF,1,NA,1,NA,NA,Female,06/05/1994,White,Christian,Single,Yes,MSc Marketing Management,Yes,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Construction, Extraction, and maintenance","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",0,NA,No,NA,8,Depends,06/05/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T11:43:12Z,2017-06-16T12:05:52Z
5wy4wc,1,NA,BHF,1,NA,1,NA,NA,Female,15/11/1984,White,Other,Single,No,NA,Yes,I'm open to both Online and In-Lab Experiments,Service,Government,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,0,NA,Yes,1,Risk Neutral,Most people can be trusted,15/11/1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T12:01:54Z,2017-06-16T12:14:00Z
gl7r7w,1,NA,Oxfam,4,NA,1,NA,NA,Female,19/07/1984,White,Agnostic,Single,No,NA,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,Other,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,1,No,NA,6,Can't be too careful,19/07/1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T11:56:34Z,2017-06-16T12:19:15Z
d2znk9,1,NA,BHF,0,NA,1,NA,NA,Male,14/03/1996,White,Agnostic,Single,Yes,Law with Human Rights,No,Online Only,Service,Service,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",2,0,No,NA,8,Most people can be trusted,14/03/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T12:53:55Z,2017-06-16T13:07:42Z
6qhp96,1,NA,NA,NA,Slightly unhappy,1,NA,NA,Female,29/12/1995,White,Christian,Single,Yes,Economics,Yes,In the Lab Only,"Management, Professional, and related","Management, Professional, and related","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,0,No,NA,Very willing to take risks,Depends,29/12/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T12:51:42Z,2017-06-16T13:17:11Z
p561ea,1,NA,NA,NA,Slightly happy,1,NA,NA,Female,22/03/1996,Black Caribbean,Christian,Single,Yes,Management and Marketing,Yes,I'm open to both Online and In-Lab Experiments,Sales and Office,"Management, Professional, and related","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",Secondary Education (GCSE/O-Levels) or below,3,3,No,NA,6,Can't be too careful,22/03/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T13:05:23Z,2017-06-16T13:31:31Z
sekbwi,1,NA,NA,NA,Moderately happy,1,NA,NA,Male,28/06/1996,Other,Agnostic,Single,Yes,Computer science,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,"Construction, Extraction, and maintenance",Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,1,No,NA,6,Can't be too careful,28/06/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T13:33:47Z,2017-06-16T14:01:42Z
akppxd,1,NA,NA,NA,Moderately happy,1,NA,NA,Female,04/03/1996,Black African,Christian,Single,Yes,History,Yes,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Management, Professional, and related","Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",2,1,No,NA,Very willing to take risks,Can't be too careful,04/03/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T14:03:34Z,2017-06-16T14:48:07Z
o7410,1,NA,Oxfam,0,Moderately happy,1,NA,NA,Female,09/07/1995,White,Atheist,Single,Yes,International Relations and Modern Languages,Yes,I'm open to both Online and In-Lab Experiments,Other,Sales and Office,"Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",0,NA,No,NA,7,Most people can be trusted,09/07/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T14:35:19Z,2017-06-16T14:52:01Z
u81rlc,1,NA,NA,NA,Neither happy nor unhappy,1,NA,NA,Female,17/12/1993,Black African,Christian,Single,Yes,Biomedical Science,No,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Management, Professional, and related","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",Doctorate (PhD),2,1,No,NA,7,Can't be too careful,17/12/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T14:42:38Z,2017-06-16T14:57:43Z
k7t2z8,1,NA,BHF,0,NA,1,NA,NA,Male,19/05/1994,White,Christian,Single,Yes,Accounting and finance,Yes,I'm open to both Online and In-Lab Experiments,Sales and Office,Sales and Office,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Undergraduate Degree (BA, BSc etc.)",0,NA,No,NA,9,Can't be too careful,19/05/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T10:34:08Z,2017-06-16T15:18:08Z
9z9vu9,1,NA,Oxfam,10,Neither happy nor unhappy,1,NA,NA,Male,05/02/1947,White,Atheist,Married,No,NA,Yes,In the Lab Only,Homemaker,Other,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,0,NA,Yes,2,8,Most people can be trusted,05/02/1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T19:20:09Z,2017-06-16T19:38:30Z
ubjcvu,1,NA,NA,NA,Slightly happy,1,NA,NA,Male,18/03/1998,Black African,Christian,Single,Yes,Accounting with Economics,Yes,I'm open to both Online and In-Lab Experiments,Other,"Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",4,3,No,NA,8,Depends,18/03/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T21:14:57Z,2017-06-16T21:39:29Z
owfudh,1,NA,Oxfam,1,NA,1,NA,NA,Female,04/05/1998,White,Atheist,Single,Yes,Modern history,Yes,I'm open to both Online and In-Lab Experiments,Service,Other,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,3,Can't be too careful,04/05/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-16T21:42:32Z,2017-06-16T21:52:31Z
o12a6f,1,NA,NA,NA,Moderately happy,1,NA,NA,Male,13/11/1996,Black Caribbean,Other,Single,Yes,Computer Science,Yes,Online Only,"Management, Professional, and related","Production, Transportation, and Material Moving","Undergraduate Degree (BA, BSc etc.)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,0,No,NA,Very willing to take risks,Can't be too careful,13/11/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-17T01:39:17Z,2017-06-17T02:05:19Z
ww5jhy,1,NA,BHF,10,NA,1,NA,NA,Female,13/10/1994,Mixed,Atheist,Single,Yes,law,Yes,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Management, Professional, and related","Post-graduate Degree (MA, MSc etc.)",Doctorate (PhD),1,1,No,NA,4,Depends,13/10/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-17T15:52:13Z,2017-06-17T16:15:03Z
