code,Stage,CharityTreat,Charity,Donation,Happiness,Student,RiskAversion,GeneralTrust,sex,birth,race,relig,single,uni stdnt,studies,prev par,exp pref,momjob,dadjob,momeduc,dadeduc,siblings,siborder,child,numchild,risk,trust,BirthData,Religion,MaritalStatus,PreviousExperiment,OccupationMother,OccupationFather,EducationMother,EducationFather,Siblings,SiblingsOlder,Children,ChildrenNumber,BornUK,BornCountry,YearsInUK,LanguageEnglishFirst,LanguageEnglishFluent,LanguageMainChildhood,LanguageOther,LivedOutsideUK,PersonalityExtroverted,PersonalityCritical,PersonalityDependable,PersonalityAnxious,PersonalityOpen,PersonalityReserved,PersonalitySympathetic,PersonalityCareless,PersonalityCalm,Personalityconventional,StartDate,EndDate
mezcbd,1,NA,NA,NA,Slightly happy,1,NA,NA,Female,26/04/1988,White,Atheist,Single,Yes,PhD,No,I'm open to both Online and In-Lab Experiments,Homemaker,"Construction, Extraction, and maintenance",Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,7,Can't be too careful,26/04/1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:29:53Z,2017-06-15T12:40:21Z
uhsgbr,1,NA,BHF,0,NA,1,NA,NA,Female,28/06/1998,Eastern Asian/Pacific Islander,Agnostic,Single,Yes,International Relations,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,Other,Secondary Education (GCSE/O-Levels) or below,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,0,No,NA,7,Depends,28/06/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:34:24Z,2017-06-15T12:46:56Z
aik96b,1,NA,NA,NA,Slightly unhappy,1,NA,NA,Female,18/08/1994,Eastern Asian/Pacific Islander,Muslim,Single,Yes,Psychology,Yes,I'm open to both Online and In-Lab Experiments,Homemaker,Other,Secondary Education (GCSE/O-Levels) or below,Secondary Education (GCSE/O-Levels) or below,7,5,No,NA,Risk Neutral,Depends,18/08/1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:31:43Z,2017-06-15T12:49:57Z
yfqsd,1,NA,Oxfam,0,NA,1,NA,NA,Female,27/03/1991,White,Agnostic,Single,Yes,International Relations,Yes,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related","Construction, Extraction, and maintenance","Post-graduate Degree (MA, MSc etc.)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",3,3,No,NA,8,Most people can be trusted,27/03/1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:40:03Z,2017-06-15T12:51:41Z
9tga3v,1,NA,Oxfam,0,Extremely happy,1,NA,NA,Female,27/03/1999,White,Other,Single,Yes,Genetics,Yes,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related",Other,"Post-graduate Degree (MA, MSc etc.)","Post-graduate Degree (MA, MSc etc.)",1,1,No,NA,8,Most people can be trusted,27/03/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:51:27Z,2017-06-15T13:07:15Z
crb3e2,1,NA,NA,NA,Slightly happy,1,NA,NA,Male,28/10/1987,White,Atheist,Single,No,NA,No,I'm open to both Online and In-Lab Experiments,Other,"Management, Professional, and related","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",1,0,No,NA,7,Most people can be trusted,28/10/1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T13:00:01Z,2017-06-15T13:07:43Z
s8kl6c,1,NA,NA,NA,Neither happy nor unhappy,1,NA,NA,Female,29/03/1996,White,Christian,Single,Yes,Business,No,I'm open to both Online and In-Lab Experiments,"Management, Professional, and related",Service,"Undergraduate Degree (BA, BSc etc.)","Undergraduate Degree (BA, BSc etc.)",1,1,No,NA,Risk Neutral,Can't be too careful,29/03/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T13:01:37Z,2017-06-15T13:09:10Z
s1mn9o,1,NA,BHF,0,NA,1,NA,NA,Female,12/07/1977,Black African,Christian,Single,Yes,Accounting,No,Online Only,Service,Other,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)",3,1,Yes,3,Very willing to take risks,Can't be too careful,12/07/1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:52:05Z,2017-06-15T13:12:39Z
h7pgqq,1,NA,Oxfam,1,NA,1,NA,NA,Female,06/01/1993,White,Christian,Single,Yes,MA Applied linguistics,No,I'm open to both Online and In-Lab Experiments,Homemaker,"Management, Professional, and related",Secondary Education (GCSE/O-Levels) or below,"Undergraduate Degree (BA, BSc etc.)",1,0,No,NA,7,Depends,06/01/1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T13:00:51Z,2017-06-15T13:14:00Z
k3ltp6,1,NA,Oxfam,10,Moderately unhappy,1,NA,NA,Female,03/12/1992,White,Atheist,Single,No,NA,No,Online Only,"Management, Professional, and related","Management, Professional, and related","Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)",Secondary Education (GCSE/O-Levels) or below,1,0,No,NA,4,Depends,03/12/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-06-15T12:54:55Z,2017-06-15T13:17:12Z
