StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,registeredyet,timepleasecontinue_First Click,timepleasecontinue_Last Click,timepleasecontinue_Page Submit,timepleasecontinue_Click Count,timenbrcontact_First Click,timenbrcontact_Last Click,timenbrcontact_Page Submit,timenbrcontact_Click Count,nbr_regularcontact,timenbrname_First Click,timenbrname_Last Click,timenbrname_Page Submit,timenbrname_Click Count,nbr_name,timenbrhaveemail_First Click,timenbrhaveemail_Last Click,timenbrhaveemail_Page Submit,timenbrhaveemail_Click Count,nbr_know_email,timenbrwouldemail_First Click,timenbrwouldemail_Last Click,timenbrwouldemail_Page Submit,timenbrwouldemail_Click Count,nbr_willing_email_hp,timehappiness_First Click,timehappiness_Last Click,timehappiness_Page Submit,timehappiness_Click Count,happiness_1,time_ns1_donint_First Click,time_ns1_donint_Last Click,time_ns1_donint_Page Submit,time_ns1_donint_Click Count,ns1_don_int_hb,time_ns1_dondom_First Click,time_ns1_dondom_Last Click,time_ns1_dondom_Page Submit,time_ns1_dondom_Click Count,ns1_dondom_hb,time_nsa_donint_First Click,time_nsa_donint_Last Click,time_nsa_donint_Page Submit,time_nsa_donint_Click Count,ns1_donint_ha,timing_ns1_dondom_First Click,timing_ns1_dondom_Last Click,timing_ns1_dondom_Page Submit,timing_ns1_dondom_Click Count,ns1_dondom_ha,timeplacebo_BHF_First Click,timeplacebo_BHF_Last Click,timeplacebo_BHF_Page Submit,timeplacebo_BHF_Click Count,regyet,nsbeforewinask,nsb4whichchar,winscreen,nsbeforeask,nsb4whichchar,losescreen,winscreenafter,nsafterdon,nsafterwhichchar,noasklose,Q44,RecruitmentID,sex,childpresentmdl,clustergroup,ordergroup,recruitmentid,title,rand_num,rankingroup,groupn,reminderperson,firstasktreat,OxfamDonation,BHFDonation,TotalDonation,Gift,BHFExtra,OxfamExtra,TotalExtra
2017-05-08 16:18:15,2017-05-08 16:19:47,IP Address,100,91,True,2017-05-08 16:19:48,R_3n1otcLo28PTIEN,email,Yes,,,,,1.981,1.987,5.894,2,Yes,2.356,2.361,5.755,2,Yes,3.18,3.186,5.615,2,Yes,7.619,7.624,8.355,2,Yes,5.739,5.746,7.397,2,Slightly unhappy,9.589,24.307,27.053,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130874,F,Y,2,0,,Mrs,.1754743,126,,,,0,,0,10,0,0,0
2017-05-08 18:18:16,2017-05-08 18:19:32,IP Address,100,76,True,2017-05-08 18:19:33,R_3m8IwLXcJ2N883O,email,Yes,,,,,5.837,5.859,7.057,2,Yes,2.57,2.578,7.666,2,No,4.336,4.344,5.936,2,No,6.99,6.997,7.83,2,Yes,11.093,11.103,12.908,2,Moderately happy,,,,,,,,,,,,,,,,,,,,,0,0,3.879,0,,,,,,,,,,,,,124334,F,Y,2,0,,Mrs,.1417012,103,,,noask,,,0,10,0,0,0
2017-05-08 19:21:51,2017-05-08 19:23:10,IP Address,100,78,True,2017-05-08 19:23:11,R_11aOsftbuXoytqc,email,Yes,0,0,2.715,0,3.429,3.441,6.038,2,No,5.703,5.715,6.699,2,Yes,5.187,5.21,6.19,2,No,6.415,6.426,7.367,2,No,6.674,6.694,8.291,2,Moderately happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134445,F,Y,2,0,,Ms,.2123083,155,,,noask,,,0,10,0,0,0
2017-05-08 16:31:26,2017-05-08 19:43:39,IP Address,100,11533,True,2017-05-08 19:43:40,R_eRIL7lBlUGbrA2J,email,Yes,0,0,3.218,0,2.349,2.349,6.373,1,Yes,2.001,2.001,6.065,1,Yes,7.611,7.611,8.869,1,Yes,5.973,5.973,6.997,1,Yes,7.881,7.881,8.898,1,Moderately happy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136109,F,N,1,0,,Ms,.127708,85,,,noask,,,0,10,0,0,0
2017-05-08 22:32:15,2017-05-08 22:34:03,IP Address,100,108,True,2017-05-08 22:34:04,R_3vHPz6kJq8L39m1,email,Yes,,,,,4.833,6.181,6.208,3,Yes,2.841,4.955,6.359,3,Yes,4.644,4.655,5.816,2,Yes,6.362,7.509,9.988,3,Yes,8.217,8.235,9.762,2,Neither happy nor unhappy,,,,,,,,,,,10.967,29.934,33.563,6,0,,,,,,,,,,,,,,,,,,,,,,132598,F,N,1,0,,Ms,.0454567,40,,,international_happyafter,0,,0,10,0,0,0
2017-05-09 10:58:58,2017-05-09 11:00:56,IP Address,100,118,True,2017-05-09 11:00:57,R_3fd5YIJTkcpHNCU,email,No,,,,,3.647,3.647,6.482,1,Yes,4.143,4.143,6.308,1,Yes,6.741,6.741,8.297,1,Yes,7.37,7.37,8.606,1,Yes,8.312,8.312,9.793,1,Slightly happy,,,,,,,,,,,,,,,,19.375,44.012,47.404,4,10,,,,,,,,,,,,,,,,,128163,M,N,3,0,,Mr,.0226705,21,,,domestic_happyafter,,10,10,0,2.5,0,2.5
2017-05-09 16:44:25,2017-05-09 16:45:51,IP Address,100,85,True,2017-05-09 16:45:51,R_12RrTRnznKlZRIJ,email,Yes,,,,,5.091,5.102,5.727,2,Yes,4.507,4.517,5.544,2,Yes,4.392,4.408,5.532,2,Yes,12.197,15.881,16.462,3,Yes,7.988,9.032,11.679,3,Slightly happy,8.904,12.644,14.871,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143459,M,Y,4,0,,Mr,.0459604,19,,,,0,,0,10,0,0,0
2017-05-09 16:58:31,2017-05-09 17:00:01,IP Address,100,89,True,2017-05-09 17:00:02,R_1DMajVLbPeYXuU9,email,No,,,,,3.416,3.427,5.867,2,Yes,2.704,2.716,5.725,2,Yes,2.682,2.69,6.423,2,Yes,4.386,4.391,5.717,2,No,8.97,8.98,10.604,2,Moderately happy,,,,,,4.949,28.84,30.005,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,127571,F,Y,2,0,,Ms,.1912592,141,,,domestic_happyfirst,,0,0,10,0,0,0
2017-05-08 23:38:44,2017-05-08 23:39:01,IP Address,28,16,False,2017-05-09 23:39:23,R_1OMFaiYbHph0wQ7,email,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126078,M,Y,4,0,,Mr,.0429306,18,,,,,,,,,,
2017-05-09 13:46:59,2017-05-09 13:50:20,IP Address,26,200,False,2017-05-10 13:47:02,R_2ckCkAXja7QT76U,email,Yes,,,,,4.052,4.052,6.356,1,Yes,2.031,2.031,6.207,1,Yes,8.134,8.134,9.141,1,No,4.616,4.616,5.696,1,Yes,5.761,5.761,6.354,1,Moderately happy,,,,,,,,,,,38.132,38.132,40.22,1,0,,,,,,,,,,,,,,,,,,,,,,145608,F,N,1,0,,Ms,.0772241,61,,,international_happyafter,0,,0,10,0,0,0
